Type,Treated,Treated,Treated,Treated,Treated,Treated,Treated,Treated,Treated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,,
200.908,2455.14,3259,3234.5,2523.21,2468.36,2313.21,2469.07,2265.86,2578.43,3283.14,3041.14,3152.86,3065.36,2750.43,2796.43,3057.07,3125.57,3199.29,411,404.571,415.429,636.143,634.143,607.929,499.429,531.5,551.071,,
202.721,2455.14,3259,3234.5,2523.21,2468.36,2313.21,2469.07,2265.86,2578.43,3283.14,3041.14,3152.86,3065.36,2750.43,2796.43,3057.07,3125.57,3199.29,411,404.571,415.429,636.143,634.143,607.929,499.429,531.5,551.071,,
204.535,2484.79,3246.79,3226.43,2516.43,2469.79,2299.36,2464.14,2251.86,2554,3287.57,3048.93,3161.86,3043,2724,2790.71,3027,3132.14,3185.71,417.357,412.786,419.857,656,635,627.429,511.214,537.5,552.429,,
206.347,2445.57,3222,3224.64,2514.93,2447.5,2278.57,2448.71,2242.21,2542.14,3249.79,3013.5,3140.57,3036.86,2729.93,2766.79,3016.36,3113.21,3141.79,412.286,414.571,419.071,649.071,631.214,614.5,504.429,527.786,549.929,,
208.161,2453.71,3221.5,3191.64,2476.93,2424.79,2281.71,2427.64,2222.71,2539,3246.43,3006.79,3147.86,3036.5,2687.79,2757.64,2994.71,3106.36,3157.36,410.929,416.5,420.071,641,631.857,605,497,524.286,548.429,,
209.972,2437.93,3202.86,3180.93,2483.93,2412.07,2253.86,2426.57,2227.93,2541.21,3232.29,2970.29,3145.36,3018.07,2694.79,2726.21,2983.71,3085,3125.71,414.571,416,416.714,637.857,619.643,606.571,497.786,526.929,544.5,,
211.785,2420.36,3183.07,3152.79,2472.64,2404.64,2236.86,2416.36,2214.36,2522.79,3206.5,2966.86,3135.57,2978.64,2672.07,2737.43,2971.5,3076,3105.93,414.071,406.214,414.429,633.5,623.571,607.286,499.5,515.643,549.143,,
213.598,2418.86,3153.07,3142.71,2451.64,2409.07,2230.64,2406.93,2202.21,2488.71,3211.36,2954.57,3111.29,2978.71,2671.07,2731.64,2961,3073.43,3113,415.357,409.5,412.429,637.429,613.929,610.571,498.286,515.643,543.286,,
215.408,2403.07,3131.29,3135.86,2430.86,2357.36,2226.43,2388.64,2183.43,2499.43,3182.5,2922.79,3112.14,2964.79,2657.79,2727.79,2941.43,3044.71,3082.57,412.929,402,409.714,630.929,617.286,608.429,491.286,520.286,538.571,,
217.22,2396.43,3131.71,3132.93,2425.57,2368.07,2204.79,2380.14,2191.93,2463,3163.07,2917.93,3062.79,2958.64,2638.29,2703.07,2944,3036.29,3093.07,407.214,408.714,414.714,628.214,620.357,605.857,497,521.857,543.286,,
