outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,89282.96135424067,177543.95592972115,5,,,,
2,"{""hidden_layer_sizes"": [512, 256], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.0005, ""batch_size"": 256, ""max_iter"": 300}",hls512-256_actrelu_bs256_lr0.0005_wd0.0001_mi300,620302.153922051,1227632.9537216916,5,,,,
3,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,5910.94569662502,6601.938208569623,5,,,,
4,"{""hidden_layer_sizes"": [256, 256, 128], ""activation"": ""relu"", ""alpha"": 1e-05, ""learning_rate_init"": 0.001, ""batch_size"": 512, ""max_iter"": 300}",hls256-256-128_actrelu_bs512_lr0.001_wd1e-05_mi300,3592.362143998181,4618.787973546171,5,,,,
5,"{""hidden_layer_sizes"": [256, 256, 128], ""activation"": ""relu"", ""alpha"": 1e-05, ""learning_rate_init"": 0.001, ""batch_size"": 512, ""max_iter"": 300}",hls256-256-128_actrelu_bs512_lr0.001_wd1e-05_mi300,111964.13236003544,222579.93660550137,5,,,,
6,"{""hidden_layer_sizes"": [256, 256, 128], ""activation"": ""relu"", ""alpha"": 1e-05, ""learning_rate_init"": 0.001, ""batch_size"": 512, ""max_iter"": 300}",hls256-256-128_actrelu_bs512_lr0.001_wd1e-05_mi300,1438.1544810358882,727.0645225656115,5,,,,
7,"{""hidden_layer_sizes"": [512, 256], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.0005, ""batch_size"": 256, ""max_iter"": 300}",hls512-256_actrelu_bs256_lr0.0005_wd0.0001_mi300,945.3529951863862,684.9311974533049,5,,,,
8,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,6503.04293539684,11262.257188666654,5,,,,
9,"{""hidden_layer_sizes"": [256, 256, 128], ""activation"": ""relu"", ""alpha"": 1e-05, ""learning_rate_init"": 0.001, ""batch_size"": 512, ""max_iter"": 300}",hls256-256-128_actrelu_bs512_lr0.001_wd1e-05_mi300,3382.7148860736497,4984.897117771392,5,,,,
10,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,16273.081211287965,31237.653513299192,5,,,,
