outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,522.2240600337824,227.08714803015465,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,462.40743813451616,112.79564874441982,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,493.84471272901965,179.05204613325023,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,582.9179750783793,143.78583808433618,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,543.4022369824798,238.414510666116,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,403.71584266543255,183.92224304695338,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,452.4549462359848,160.52977962582534,5,1384,1731,2961.37,3398.93
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,449.1256273081629,165.78955381627296,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,607.144025747293,211.41463609401808,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,520.7146838623332,161.62225088543858,5,1038,1384,2496.64,2960.07
