outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,481.8763005815364,257.6731845147623,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,467.9753476940838,173.16456109540079,5,1038,1384,2496.64,2960.07
3,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,397.43487980683847,121.92505362426958,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,572.1128076396701,86.7701773455982,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,451.43513834409094,194.42749791164024,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,362.1488945244582,188.5901401705824,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 5, ""num_intervals"": 5}",C=5__I=5,352.5747405839072,207.336831939387,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 6, ""num_intervals"": 10}",C=6__I=10,384.45488228328094,122.30458217011955,5,1211,1384,2732.54,2960.07
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,472.6650563993761,220.1921825132729,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 10, ""num_intervals"": 5}",C=10__I=5,399.66218699685976,139.51209583833847,5,1038,1384,2496.64,2960.07
