outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,594.9321512559177,174.506110460585,5,,,,
2,"{""n_components"": 2}",C=2,656.1168389818743,197.6959740373549,5,,,,
3,"{""n_components"": 2}",C=2,704.9013144681799,246.9283569076796,5,,,,
4,"{""n_components"": 2}",C=2,681.6390158529923,146.39856557865903,5,,,,
5,"{""n_components"": 2}",C=2,676.21926510182,163.03433123150276,5,,,,
6,"{""n_components"": 2}",C=2,613.5394117492779,147.796276193884,5,,,,
7,"{""n_components"": 2}",C=2,696.018577704637,104.65565035457978,5,,,,
8,"{""n_components"": 2}",C=2,642.8466802512869,156.61068896933855,5,,,,
9,"{""n_components"": 2}",C=2,569.3336110436577,212.18106827291612,5,,,,
10,"{""n_components"": 4}",C=4,605.058576786287,156.6089677693916,5,,,,
