outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 5}",C=5,514.6152563725464,89.64468095592966,5,,,,
2,"{""n_components"": 2}",C=2,597.1928782677054,233.53672626566333,5,,,,
3,"{""n_components"": 2}",C=2,600.2918989450027,201.32865694691225,5,,,,
4,"{""n_components"": 2}",C=2,560.0107024718025,110.5541147113261,5,,,,
5,"{""n_components"": 2}",C=2,570.6628806236088,102.88499961406553,5,,,,
6,"{""n_components"": 2}",C=2,506.32955867945003,139.1955141948245,5,,,,
7,"{""n_components"": 2}",C=2,584.0015171311336,135.9430445073307,5,,,,
8,"{""n_components"": 2}",C=2,531.3792263325333,155.44103792500223,5,,,,
9,"{""n_components"": 5}",C=5,498.30753605685896,123.32150948634856,5,,,,
10,"{""n_components"": 2}",C=2,550.1581397946977,178.56196842904782,5,,,,
