outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 5}",C=5,637.4361987667032,195.21225063021365,5,,,,
2,"{""n_components"": 3}",C=3,660.2428143721456,267.0355605775507,5,,,,
3,"{""n_components"": 2}",C=2,885.8282017974403,179.18266333397403,5,,,,
4,"{""n_components"": 2}",C=2,927.285471354004,295.76460928459954,5,,,,
5,"{""n_components"": 2}",C=2,927.2831916601223,295.107671868645,5,,,,
6,"{""n_components"": 2}",C=2,2595.8534657870814,3105.3542035183377,5,,,,
7,"{""n_components"": 7}",C=7,949.6393722177982,218.59732711939398,5,,,,
8,"{""n_components"": 2}",C=2,788.888404882378,232.77122254304004,5,,,,
9,"{""n_components"": 2}",C=2,899.3565786451036,164.03303177503685,5,,,,
10,"{""n_components"": 2}",C=2,1242.0372872139058,498.8640750977006,5,,,,
