outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,741.4185170317467,274.18148984904593,5,,,,
2,"{""n_components"": 4}",C=4,601.7584110906789,229.7884559684907,5,,,,
3,"{""n_components"": 2}",C=2,904.7098398632482,144.48228685506,5,,,,
4,"{""n_components"": 2}",C=2,837.7216839369012,368.1487254555236,5,,,,
5,"{""n_components"": 2}",C=2,999.8829220628537,250.24358605006935,5,,,,
6,"{""n_components"": 2}",C=2,800.5783714057455,367.60969684592897,5,,,,
7,"{""n_components"": 2}",C=2,1457.3673610045903,1270.5723930006068,5,,,,
8,"{""n_components"": 7}",C=7,752.0192294749512,92.29000469896938,5,,,,
9,"{""n_components"": 3}",C=3,646.693752191008,229.1473436942409,5,,,,
10,"{""n_components"": 6}",C=6,584.2178740201547,124.13546326783707,5,,,,
