outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,563.8063267010792,174.7004153042454,5,,,,
2,"{""n_components"": 2}",C=2,654.3218712348573,219.7613119892007,5,,,,
3,"{""n_components"": 2}",C=2,634.1763049254951,109.63336406389736,5,,,,
4,"{""n_components"": 2}",C=2,629.2684523195475,146.6677279008585,5,,,,
5,"{""n_components"": 2}",C=2,640.1441851817904,188.13990412594416,5,,,,
6,"{""n_components"": 5}",C=5,559.3099864330312,69.56809964314256,5,,,,
7,"{""n_components"": 2}",C=2,609.2275754806119,118.72732046590676,5,,,,
8,"{""n_components"": 2}",C=2,618.6864075794273,202.64303190409754,5,,,,
9,"{""n_components"": 9}",C=9,492.4385005432021,81.46868476028418,5,,,,
10,"{""n_components"": 2}",C=2,644.5259654189475,157.03989391506113,5,,,,
