outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,524.0332119546135,201.57175089538575,5,,,,
2,"{""n_components"": 2}",C=2,573.5902084826232,136.57835613971145,5,,,,
3,"{""n_components"": 2}",C=2,538.9660292856745,157.9700906116453,5,,,,
4,"{""n_components"": 2}",C=2,521.488966722173,147.89439911617524,5,,,,
5,"{""n_components"": 2}",C=2,539.2109504622383,96.90579180690673,5,,,,
6,"{""n_components"": 2}",C=2,417.60065018161384,130.12733393552173,5,,,,
7,"{""n_components"": 2}",C=2,529.1023397405249,255.2894414944843,5,,,,
8,"{""n_components"": 2}",C=2,439.07414728199774,156.90103481953642,5,,,,
9,"{""n_components"": 2}",C=2,481.6433341924163,182.47634558220517,5,,,,
10,"{""n_components"": 2}",C=2,506.72243314023973,153.34217428003575,5,,,,
