outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 3}",C=3,645.5212282396598,219.31995019310384,5,,,,
2,"{""n_components"": 2}",C=2,715.2640542332869,201.55672568978738,5,,,,
3,"{""n_components"": 2}",C=2,724.3438750424177,247.4486020072793,5,,,,
4,"{""n_components"": 2}",C=2,690.4188872529078,160.5125006315001,5,,,,
5,"{""n_components"": 3}",C=3,686.2647667694723,189.70821337568006,5,,,,
6,"{""n_components"": 2}",C=2,678.4638078424948,312.3896499396176,5,,,,
7,"{""n_components"": 2}",C=2,758.3659439965625,294.1838747655175,5,,,,
8,"{""n_components"": 3}",C=3,685.916686471269,121.89530940081285,5,,,,
9,"{""n_components"": 3}",C=3,624.0120538124107,155.06175384592427,5,,,,
10,"{""n_components"": 2}",C=2,642.6421551353316,243.86309146986378,5,,,,
