outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,564.8523388721833,201.66291723523437,5,,,,
2,"{""n_components"": 2}",C=2,652.0031537305609,163.42442467728995,5,,,,
3,"{""n_components"": 2}",C=2,702.116914433549,164.79797330202388,5,,,,
4,"{""n_components"": 2}",C=2,654.3841115345217,64.18413234568554,5,,,,
5,"{""n_components"": 2}",C=2,639.3760038123008,214.60904399125107,5,,,,
6,"{""n_components"": 2}",C=2,639.4546882274028,148.25547502218748,5,,,,
7,"{""n_components"": 2}",C=2,645.027184073516,109.71363978222234,5,,,,
8,"{""n_components"": 2}",C=2,583.7545403515543,209.43642173965827,5,,,,
9,"{""n_components"": 2}",C=2,550.8317230768658,139.26286691386,5,,,,
10,"{""n_components"": 2}",C=2,608.2453630584125,208.57611769623045,5,,,,
