outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,487.4147877920908,102.92736607021753,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,404.34718648706814,178.5675214483679,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,551.1414799403819,224.8907707736433,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,407.59373391180617,148.7745605886719,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 5, ""num_intervals"": 5}",C=5__I=5,374.66935541379615,224.0603795388572,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,401.23950136182765,111.22689665605218,5,1211,1384,2732.54,2960.07
7,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,455.4052271213817,151.94794076179502,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,500.1137891360169,143.9471637629036,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,548.9484939426774,129.06065881881844,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,483.00313285529603,143.5481227248085,5,1211,1384,2732.54,2960.07
