outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,467.5899111750805,24.646826833463297,5,692,865,1373.76,1641.64
2,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,423.68179232480986,155.6452578045803,5,1038,1384,2496.64,2960.07
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,519.0410596028439,330.546721432089,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,436.7437979460181,100.72700846494838,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,395.02205875442525,233.9474048068866,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,419.79959282676947,80.36071213153993,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,316.598541160644,112.17390386918885,5,692,865,1373.76,1641.64
8,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,474.6559348448736,140.67976616991612,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,494.0468888758618,86.98153112079042,5,692,865,1373.76,1641.64
10,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,456.8498165366103,97.15024720842638,5,692,865,1373.76,1641.64
