outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,487.31956279657624,148.0474017274556,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,405.66523030142696,179.16865215726466,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,545.658758554167,442.4619611718419,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,405.593585208397,146.47340476397062,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 5, ""num_intervals"": 5}",C=5__I=5,376.24915761352605,231.14082384609708,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,401.41912634650396,111.22270049592201,5,1211,1384,2732.54,2960.07
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,466.8174419718026,196.46140858947442,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,498.6746893917645,142.3226252982821,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,549.0182380330074,128.88558801558972,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,483.1498304057083,143.56182281479877,5,1384,1731,2961.37,3398.93
