outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 6, ""num_intervals"": 10}",C=6__I=10,359.25684125513317,115.00282793783225,5,519,692,1095.28,1372.18
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,450.80476614134375,195.7383758360379,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,552.5543835341111,290.21824228119226,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 10, ""num_intervals"": 5}",C=10__I=5,338.0833150085652,91.07895649550902,5,692,1038,1373.76,2495.26
5,"{""n_components"": 9, ""num_intervals"": 5}",C=9__I=5,367.38246023964024,148.01098674896727,5,692,1038,1373.76,2495.26
6,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,468.8255329799141,149.4609123696858,5,0,346,200.908,805.597
7,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,437.3814797957072,114.03355075895215,5,0,346,200.908,805.597
8,"{""n_components"": 10, ""num_intervals"": 5}",C=10__I=5,421.2146298461419,134.66600202548307,5,692,1038,1373.76,2495.26
9,"{""n_components"": 10, ""num_intervals"": 5}",C=10__I=5,388.1400565117513,62.0565901102163,5,692,1038,1373.76,2495.26
10,"{""n_components"": 10, ""num_intervals"": 5}",C=10__I=5,389.04987131713665,133.0901439111944,5,692,1038,1373.76,2495.26
