outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 7, ""num_intervals"": 5}",C=7__I=5,471.3319947141325,112.56260230164965,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,480.84284750931266,186.55888612479575,5,1038,1384,2496.64,2960.07
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,575.4974769005092,273.94394559269784,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,449.54071123683326,85.99881945027833,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 9, ""num_intervals"": 10}",C=9__I=10,359.7885495503414,81.43091214287,5,692,865,1373.76,1641.64
6,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,422.14699664594866,80.23032321195888,5,692,865,1373.76,1641.64
7,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,434.683053203484,126.5466350457343,5,0,346,200.908,805.597
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,473.4215501539167,142.4681168128224,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,474.56369738792984,144.521916806633,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,448.0792577601398,99.27068360900171,5,692,865,1373.76,1641.64
