outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 9, ""num_intervals"": 5}",C=9__I=5,365.9650836174008,93.81156882765694,5,346,692,807.292,1372.18
2,"{""n_components"": 9, ""num_intervals"": 5}",C=9__I=5,285.66735842771607,76.68781200171935,5,346,692,807.292,1372.18
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,455.04692334494393,370.60457786524944,5,692,1038,1373.76,2495.26
4,"{""n_components"": 7, ""num_intervals"": 5}",C=7__I=5,279.65061691935193,105.50313677161272,5,692,1038,1373.76,2495.26
5,"{""n_components"": 8, ""num_intervals"": 5}",C=8__I=5,249.0588687177219,86.03573325070853,5,692,1038,1373.76,2495.26
6,"{""n_components"": 7, ""num_intervals"": 5}",C=7__I=5,318.00053156241984,128.19480895080062,5,692,1038,1373.76,2495.26
7,"{""n_components"": 10, ""num_intervals"": 5}",C=10__I=5,265.6404393230828,138.14279581281397,5,692,1038,1373.76,2495.26
8,"{""n_components"": 8, ""num_intervals"": 10}",C=8__I=10,322.20115811076437,80.8652658929765,5,692,865,1373.76,1641.64
9,"{""n_components"": 6, ""num_intervals"": 10}",C=6__I=10,326.8549971541817,44.40418971814496,5,692,865,1373.76,1641.64
10,"{""n_components"": 8, ""num_intervals"": 5}",C=8__I=5,311.1546690999184,50.941995814880116,5,692,1038,1373.76,2495.26
