outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,608.1969494771764,217.11108739451228,5,,,,
2,"{""n_components"": 2}",C=2,1461.465125454545,1670.2031996023527,5,,,,
3,"{""n_components"": 2}",C=2,861.8635502722603,427.88762729359973,5,,,,
4,"{""n_components"": 2}",C=2,3737.5938359626743,6363.784526935665,5,,,,
5,"{""n_components"": 2}",C=2,756.2712792169382,269.0058247804099,5,,,,
6,"{""n_components"": 2}",C=2,632.2720120718192,355.4948932127349,5,,,,
7,"{""n_components"": 7}",C=7,562.8622858060372,175.28387160756085,5,,,,
8,"{""n_components"": 2}",C=2,1076.1885878802482,367.0353451231862,5,,,,
9,"{""n_components"": 2}",C=2,841177.5231168347,1680524.3908551817,5,,,,
10,"{""n_components"": 2}",C=2,662.4693367572111,241.5358356272163,5,,,,
