outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 4}",C=4,433.95523047010073,116.96178974586705,5,,,,
2,"{""n_components"": 7}",C=7,384.3610966374241,50.27592290364369,5,,,,
3,"{""n_components"": 2}",C=2,596.9444742127423,203.47237233554833,5,,,,
4,"{""n_components"": 4}",C=4,399.671271197279,132.40979942118997,5,,,,
5,"{""n_components"": 2}",C=2,494.9114417495249,261.0621823521515,5,,,,
6,"{""n_components"": 2}",C=2,439.3964971645246,154.1064318062712,5,,,,
7,"{""n_components"": 5}",C=5,356.41182942668195,129.69348945638205,5,,,,
8,"{""n_components"": 5}",C=5,368.435077911137,115.67402228362064,5,,,,
9,"{""n_components"": 4}",C=4,445.5340419805806,159.36808569827735,5,,,,
10,"{""n_components"": 2}",C=2,572.4202676656379,181.12090892531566,5,,,,
