outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,450.61626087557505,132.21673561034592,5,,,,
2,"{""n_components"": 6}",C=6,436.16069663690587,57.81456630789194,5,,,,
3,"{""n_components"": 2}",C=2,619.4861870365224,194.21730588713615,5,,,,
4,"{""n_components"": 4}",C=4,448.29236191417266,71.20653602629166,5,,,,
5,"{""n_components"": 2}",C=2,485.8637788522801,192.01313528094855,5,,,,
6,"{""n_components"": 2}",C=2,456.08770070023286,100.97441052432114,5,,,,
7,"{""n_components"": 4}",C=4,344.5477379350899,171.01284951191855,5,,,,
8,"{""n_components"": 5}",C=5,343.496654786821,106.82909293152258,5,,,,
9,"{""n_components"": 2}",C=2,454.2881758286314,197.20264965992013,5,,,,
10,"{""n_components"": 2}",C=2,581.8431440365845,208.50228318135208,5,,,,
