outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 3}",C=3,557.695413322531,122.4360131331993,5,,,,
2,"{""n_components"": 2}",C=2,557.5541444141265,139.8592435836448,5,,,,
3,"{""n_components"": 2}",C=2,621.4225034000377,96.99821025934494,5,,,,
4,"{""n_components"": 3}",C=3,579.4359131120374,120.07644850415289,5,,,,
5,"{""n_components"": 2}",C=2,691.4041813554243,163.37672344701846,5,,,,
6,"{""n_components"": 2}",C=2,566.1519698074587,126.24702645088716,5,,,,
7,"{""n_components"": 13}",C=13,405.43964567243154,83.29726993060358,5,,,,
8,"{""n_components"": 4}",C=4,551.9059818802106,73.95472089505795,5,,,,
9,"{""n_components"": 3}",C=3,595.1952889334918,86.43733091178659,5,,,,
10,"{""n_components"": 2}",C=2,676.4989046936608,163.38529498651164,5,,,,
