outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,511.9975609365043,141.55649049302065,5,,,,
2,"{""n_components"": 2}",C=2,419.49451095762254,122.08587742886543,5,,,,
3,"{""n_components"": 2}",C=2,650.037958183389,382.4429394104987,5,,,,
4,"{""n_components"": 2}",C=2,458.4705615606493,165.955902618982,5,,,,
5,"{""n_components"": 2}",C=2,578.257482806473,286.85563268265037,5,,,,
6,"{""n_components"": 2}",C=2,465.8211402929951,226.29622973258748,5,,,,
7,"{""n_components"": 2}",C=2,437.4721025922232,223.27706957730985,5,,,,
8,"{""n_components"": 4}",C=4,434.3186986743875,141.2845797833417,5,,,,
9,"{""n_components"": 5}",C=5,476.97710592478495,131.21617750078016,5,,,,
10,"{""n_components"": 2}",C=2,615.5860602746586,233.157315711063,5,,,,
