outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.039342349493517004,0.012621751753126433,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03958333189063902,0.017514319186033085,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03729586626802052,0.007646757835205314,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03811901589804345,0.015299090427707279,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03672672943111871,0.012885204811622659,5,1384,1731,2961.37,3398.93
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04031872884326747,0.015480930249897896,5,1384,1731,2961.37,3398.93
7,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,0.028270355469788056,0.0092432050502981,5,1211,1384,2732.54,2960.07
8,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,0.03141235793664843,0.008202483575457482,5,1211,1384,2732.54,2960.07
9,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,0.035899878036522295,0.008990436164625575,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 15}",C=2__I=15,0.03821639024256125,0.005715767430382997,5,1265,1380,2804.72,2954.85
