outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03941402225093658,0.01257070446153594,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.045651569668778355,0.020872542053181887,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03712972541335975,0.007878681226931328,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03540209251097502,0.01525416312764605,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03672616586169733,0.012941965227849097,5,1384,1731,2961.37,3398.93
6,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,0.039257982735897666,0.012508886146328686,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,0.028256215155393487,0.009288644506339063,5,1211,1384,2732.54,2960.07
8,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,0.03144426287474563,0.008183901150538273,5,1211,1384,2732.54,2960.07
9,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,0.035952868083056096,0.009114570888051355,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 15}",C=2__I=15,0.038164993528108884,0.005676191295175201,5,1265,1380,2804.72,2954.85
