outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04079908862468048,0.01648719053387617,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04033554522612711,0.020532873783135303,5,1038,1384,2496.64,2960.07
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03735169832705934,0.014225211732566708,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03432264618034837,0.012428632649354295,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.038099175665138346,0.008442822796015213,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.042290809406351784,0.008377958018126392,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.02793728386170926,0.008619295166541436,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03356866889098551,0.005686622290638529,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,0.038505263633331434,0.005104608563822188,5,1211,1384,2732.54,2960.07
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03723801446022336,0.007709235453577462,5,1038,1384,2496.64,2960.07
