outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,0.039042834320969645,0.011707018098402433,5,1211,1384,2732.54,2960.07
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03904991195702927,0.017017655295744546,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04070813188998895,0.012822767479718099,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,0.035310585654955505,0.015151987848952822,5,0,346,200.908,805.597
5,"{""n_components"": 5, ""num_intervals"": 5}",C=5__I=5,0.04309504699957897,0.009156160010508391,5,0,346,200.908,805.597
6,"{""n_components"": 5, ""num_intervals"": 5}",C=5__I=5,0.04438382045221428,0.01154899197950026,5,0,346,200.908,805.597
7,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,0.030127726733478744,0.010677970093910956,5,1211,1384,2732.54,2960.07
8,"{""n_components"": 5, ""num_intervals"": 5}",C=5__I=5,0.03303650539366972,0.009100189872060231,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,0.041202322774214914,0.009648416423184467,5,0,346,200.908,805.597
10,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,0.035718871503640164,0.007842189526015696,5,1211,1384,2732.54,2960.07
