outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.06106267175148128,0.021564439271075923,5,,,,
2,"{""n_components"": 2}",C=2,0.05547983039985767,0.022425912108884102,5,,,,
3,"{""n_components"": 2}",C=2,0.061024518935888096,0.024340480765158642,5,,,,
4,"{""n_components"": 4}",C=4,0.043334961371631335,0.010129156443913608,5,,,,
5,"{""n_components"": 2}",C=2,0.06149652604634422,0.02690289520667759,5,,,,
6,"{""n_components"": 2}",C=2,0.05466674059641828,0.013575743250561706,5,,,,
7,"{""n_components"": 2}",C=2,0.055555279995562604,0.03203871856443455,5,,,,
8,"{""n_components"": 2}",C=2,0.05809092746148078,0.019262337166510695,5,,,,
9,"{""n_components"": 3}",C=3,0.05199019256389574,0.015127275514126093,5,,,,
10,"{""n_components"": 2}",C=2,0.05707021828086203,0.02214871568416176,5,,,,
