outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.06860628737217961,0.024558227405435125,5,,,,
2,"{""n_components"": 3}",C=3,0.08216658842070122,0.0376884209434669,5,,,,
3,"{""n_components"": 2}",C=2,0.06237007710286996,0.028453300746730654,5,,,,
4,"{""n_components"": 2}",C=2,0.10490930061747025,0.08571397590847049,5,,,,
5,"{""n_components"": 2}",C=2,0.09426429566531125,0.020407601213589525,5,,,,
6,"{""n_components"": 2}",C=2,0.06562144006405876,0.02941739469480489,5,,,,
7,"{""n_components"": 2}",C=2,0.07299604399119022,0.017458456989543403,5,,,,
8,"{""n_components"": 2}",C=2,0.0864998426292945,0.028180219690883586,5,,,,
9,"{""n_components"": 2}",C=2,18.545149961725357,36.91218387683809,5,,,,
10,"{""n_components"": 2}",C=2,0.06677963160345272,0.02399490500177638,5,,,,
