outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.04880206221031921,0.01442986238892453,5,,,,
2,"{""n_components"": 2}",C=2,0.04666765911638374,0.018285758288011253,5,,,,
3,"{""n_components"": 2}",C=2,0.046332722111049836,0.013383404772887473,5,,,,
4,"{""n_components"": 2}",C=2,0.045256654876015066,0.01378096821154814,5,,,,
5,"{""n_components"": 3}",C=3,0.04307788724792432,0.012861228311136234,5,,,,
6,"{""n_components"": 2}",C=2,0.04812236628244435,0.010721522700796807,5,,,,
7,"{""n_components"": 5}",C=5,0.037043664439396974,0.006927424479284676,5,,,,
8,"{""n_components"": 3}",C=3,0.043309193669237266,0.010562902382811368,5,,,,
9,"{""n_components"": 2}",C=2,0.0468179974267806,0.011235298590011784,5,,,,
10,"{""n_components"": 3}",C=3,0.040462247302780335,0.011259596108730074,5,,,,
