outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.060213169856206894,0.02905391174421662,5,,,,
2,"{""n_components"": 2}",C=2,0.12430070823119592,0.10544819270850955,5,,,,
3,"{""n_components"": 2}",C=2,0.08648932048498104,0.04318558285337353,5,,,,
4,"{""n_components"": 10}",C=10,0.044858376121138716,0.016116135227775184,5,,,,
5,"{""n_components"": 2}",C=2,0.06970980153065831,0.013782084918895413,5,,,,
6,"{""n_components"": 4}",C=4,0.07150410205059292,0.02812334157986572,5,,,,
7,"{""n_components"": 2}",C=2,0.12924743496383034,0.09640003100791941,5,,,,
8,"{""n_components"": 5}",C=5,0.06689496849164178,0.015612455971511528,5,,,,
9,"{""n_components"": 10}",C=10,0.0492988349008769,0.014517048361691017,5,,,,
10,"{""n_components"": 3}",C=3,0.06076524863198115,0.03281548814180055,5,,,,
