outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.04827049062531893,0.01132889469322658,5,,,,
2,"{""n_components"": 2}",C=2,0.044406101473828896,0.012496991183786938,5,,,,
3,"{""n_components"": 2}",C=2,0.042150619223050925,0.008700645572144044,5,,,,
4,"{""n_components"": 2}",C=2,0.04034494795391199,0.011723976899824747,5,,,,
5,"{""n_components"": 2}",C=2,0.04482189616574069,0.003549277515712204,5,,,,
6,"{""n_components"": 2}",C=2,0.04722463107909854,0.008476075514797532,5,,,,
7,"{""n_components"": 2}",C=2,0.04333073745670916,0.006377367091729662,5,,,,
8,"{""n_components"": 2}",C=2,0.041948821168628435,0.007314964663445943,5,,,,
9,"{""n_components"": 2}",C=2,0.04469258365608124,0.006206938964841995,5,,,,
10,"{""n_components"": 2}",C=2,0.04640823371884807,0.010302020714598134,5,,,,
