outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.05137816795335235,0.019112843562498965,5,,,,
2,"{""n_components"": 3}",C=3,0.050473534341299454,0.014882619258698684,5,,,,
3,"{""n_components"": 2}",C=2,0.055335942650359835,0.014120447876253737,5,,,,
4,"{""n_components"": 6}",C=6,0.04053013084144951,0.0066913634180829525,5,,,,
5,"{""n_components"": 2}",C=2,0.050226902511870855,0.019860365727455694,5,,,,
6,"{""n_components"": 2}",C=2,0.04772971276288014,0.011884116515653919,5,,,,
7,"{""n_components"": 2}",C=2,0.04926519569613193,0.010502425141292323,5,,,,
8,"{""n_components"": 2}",C=2,0.04336755340594919,0.0126813297799397,5,,,,
9,"{""n_components"": 3}",C=3,0.04556730934667626,0.009420419117938731,5,,,,
10,"{""n_components"": 2}",C=2,0.049241208801479676,0.025949581101265152,5,,,,
