outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,324.6247111821246,98.17898792226224,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,383.300722490741,60.024562514935376,5,0,346,200.908,805.597
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,457.2112530009957,215.7215058226977,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,417.42050781372353,166.19641521882562,5,346,692,807.292,1372.18
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,412.40798711507205,107.11488498726389,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,503.27864142286217,122.1980703086665,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,489.36500358505765,96.54903774750545,5,346,692,807.292,1372.18
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,438.0218731426168,183.79180311591296,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,413.8634710261349,171.94538222793585,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,462.3379972719752,150.77232313746566,5,1038,1384,2496.64,2960.07
