outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,407.49876370866343,123.36694556521633,5,0,346,200.908,805.597
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,404.3235986929869,56.82479014369218,5,0,346,200.908,805.597
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,405.1715993215283,254.54196699854944,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,417.57247055568166,208.1341046926768,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,409.54252331975624,154.87400095570254,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,451.85610258314057,70.39305955166323,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,437.7432366203134,75.75736419287873,5,0,346,200.908,805.597
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,381.9125608515109,170.67844527706526,5,0,346,200.908,805.597
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,471.41245819893754,157.32697339613705,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,439.3913291054638,124.51028128232251,5,1038,1384,2496.64,2960.07
