outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,286.1978823105163,93.43074087180871,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,346.27110799740024,79.186014473451,5,0,346,200.908,805.597
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,417.46926534326013,224.41450001201326,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,359.31157709941135,188.46031385432556,5,0,346,200.908,805.597
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,404.47820987026273,114.85359207386671,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,479.5265124192364,101.05634739968757,5,0,346,200.908,805.597
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,396.63980073232995,80.76950563220889,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,345.08819736092,80.72034098000579,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,379.4576492741535,198.22474402646063,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,422.76759890473215,137.40306421477726,5,1038,1384,2496.64,2960.07
