outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,286.2125107682199,93.55730841999869,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,345.11719174553144,78.7475919382313,5,0,346,200.908,805.597
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,417.0878350164142,224.2370675509577,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,357.4589209730666,188.4050444907225,5,0,346,200.908,805.597
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,404.0887991463276,114.98931621590026,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,479.1864059117746,100.90538986864904,5,0,346,200.908,805.597
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,400.3137779541679,79.9968060985003,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,345.1537846518713,80.87250111860035,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,376.5700807622182,195.6050922869985,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,422.8099611790659,137.47189644522805,5,1038,1384,2496.64,2960.07
