outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,520.8535439954442,73.53518560471382,5,,,,
2,"{""n_components"": 2}",C=2,471.95385348869047,116.37157463650858,5,,,,
3,"{""n_components"": 2}",C=2,504.3010469339106,242.65613596828948,5,,,,
4,"{""n_components"": 2}",C=2,470.4415756175598,211.42768665709252,5,,,,
5,"{""n_components"": 2}",C=2,449.783871665099,174.28993412562392,5,,,,
6,"{""n_components"": 2}",C=2,519.0454007907923,244.2741566282925,5,,,,
7,"{""n_components"": 3}",C=3,404.94727096280377,111.43855523505816,5,,,,
8,"{""n_components"": 3}",C=3,362.59049127028464,135.1676593678326,5,,,,
9,"{""n_components"": 2}",C=2,1716.3782695614555,2434.741623407951,5,,,,
10,"{""n_components"": 2}",C=2,495.9007241084011,157.85387208387186,5,,,,
