outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,478.86747708407876,118.31726710742407,5,,,,
2,"{""n_components"": 2}",C=2,433.14938944877895,105.72832204127586,5,,,,
3,"{""n_components"": 2}",C=2,491.53164936720225,208.6435252184416,5,,,,
4,"{""n_components"": 2}",C=2,470.2356664809581,130.9854299702799,5,,,,
5,"{""n_components"": 2}",C=2,504.03618375117395,221.69255439928142,5,,,,
6,"{""n_components"": 2}",C=2,483.4155228468238,106.13386245990831,5,,,,
7,"{""n_components"": 2}",C=2,461.7035658831545,83.91742016162677,5,,,,
8,"{""n_components"": 2}",C=2,438.2427989378193,116.45842561820515,5,,,,
9,"{""n_components"": 3}",C=3,528.2891801106745,213.41429617655442,5,,,,
10,"{""n_components"": 2}",C=2,478.3337088805156,181.0540781302703,5,,,,
