outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 4}",C=4,561.4179226693414,263.3014698697384,5,,,,
2,"{""n_components"": 2}",C=2,552.1563401304237,164.92327350746123,5,,,,
3,"{""n_components"": 2}",C=2,581.9153480597786,277.3586022509994,5,,,,
4,"{""n_components"": 2}",C=2,582.319569427548,207.82184202706588,5,,,,
5,"{""n_components"": 2}",C=2,526.4714347402999,196.83379870884792,5,,,,
6,"{""n_components"": 2}",C=2,9084.5689966529,16911.792520095856,5,,,,
7,"{""n_components"": 3}",C=3,415.9261536923199,94.46411318714244,5,,,,
8,"{""n_components"": 2}",C=2,514.9605818129398,197.71706734394098,5,,,,
9,"{""n_components"": 2}",C=2,622.6543785155502,248.7149753989178,5,,,,
10,"{""n_components"": 2}",C=2,633.3198249526954,229.78959292016415,5,,,,
