outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,396.01425112305503,128.2465936908279,5,,,,
2,"{""n_components"": 2}",C=2,449.6122341177429,114.81357726601954,5,,,,
3,"{""n_components"": 2}",C=2,423.8270114236615,193.90005887877302,5,,,,
4,"{""n_components"": 2}",C=2,372.9447976762229,191.2392069484791,5,,,,
5,"{""n_components"": 2}",C=2,462.2289746149443,114.63604613458914,5,,,,
6,"{""n_components"": 2}",C=2,518.402594289278,116.49640249754295,5,,,,
7,"{""n_components"": 2}",C=2,454.18931504712435,104.12085309276755,5,,,,
8,"{""n_components"": 2}",C=2,367.23196130632755,95.46295925424658,5,,,,
9,"{""n_components"": 2}",C=2,469.031099736418,179.4563426369349,5,,,,
10,"{""n_components"": 2}",C=2,455.4523282290978,176.16888185718975,5,,,,
