outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,425.78758190882036,118.9268089718015,5,,,,
2,"{""n_components"": 2}",C=2,354.2133133729492,95.31528562404327,5,,,,
3,"{""n_components"": 2}",C=2,471.91858543136823,230.63538473148267,5,,,,
4,"{""n_components"": 2}",C=2,443.4110824262963,227.54264370359388,5,,,,
5,"{""n_components"": 2}",C=2,430.6942869188673,119.404369406669,5,,,,
6,"{""n_components"": 2}",C=2,446.3678441548915,49.125227620245674,5,,,,
7,"{""n_components"": 2}",C=2,476.84894270312526,35.804261869398886,5,,,,
8,"{""n_components"": 2}",C=2,441.0311389231874,106.41645364806362,5,,,,
9,"{""n_components"": 2}",C=2,500.3132754332417,253.8439537109143,5,,,,
10,"{""n_components"": 2}",C=2,488.7257731645489,222.64913214172978,5,,,,
