outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,444.5960682767938,217.24982938396704,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,510.2284021664758,116.5230368958668,5,692,865,1373.76,1641.64
3,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,443.61587310363666,205.51811472694257,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,343.5753578160388,171.05485351189122,5,1384,1731,2961.37,3398.93
5,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,315.16816010940244,109.68103710848098,5,692,865,1373.76,1641.64
6,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,297.37867693731425,59.74115826772304,5,692,865,1373.76,1641.64
7,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,387.2506205575878,39.35707104425931,5,519,692,1095.28,1372.18
8,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,380.86246041591596,81.59085303837733,5,692,865,1373.76,1641.64
9,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,334.0235044025232,83.55716913561615,5,692,865,1373.76,1641.64
10,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,310.34155151993144,65.14176929797682,5,692,865,1373.76,1641.64
