outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,381.37080757030304,167.76520382675972,5,346,692,807.292,1372.18
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,442.90455697880924,246.83014747196296,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,397.2253231462589,146.21730280458414,5,346,692,807.292,1372.18
4,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,380.87491690139797,87.05605435809007,5,0,346,200.908,805.597
5,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,322.9297707343698,153.30077444674475,5,0,346,200.908,805.597
6,"{""n_components"": 10, ""num_intervals"": 5}",C=10__I=5,277.9239054823515,139.85775100559516,5,692,1038,1373.76,2495.26
7,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,359.7124569549904,94.43891317597951,5,0,346,200.908,805.597
8,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,329.6572106780935,39.39650701990994,5,692,865,1373.76,1641.64
9,"{""n_components"": 8, ""num_intervals"": 10}",C=8__I=10,303.507506702131,31.492867277957796,5,519,692,1095.28,1372.18
10,"{""n_components"": 6, ""num_intervals"": 10}",C=6__I=10,275.52509030082416,66.71039963770197,5,519,692,1095.28,1372.18
