outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,443.75220306208774,216.39948853875882,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,509.80344474472605,288.3970672637066,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,431.51403591158214,188.7227856052532,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,347.69424030839576,169.57339799788735,5,346,692,807.292,1372.18
5,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,315.06295644266356,109.08500308366906,5,692,865,1373.76,1641.64
6,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,297.8773672307475,59.86340430522536,5,692,865,1373.76,1641.64
7,"{""n_components"": 6, ""num_intervals"": 10}",C=6__I=10,388.3595008989605,30.922714529516487,5,519,692,1095.28,1372.18
8,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,381.235478875466,79.5469485838739,5,692,865,1373.76,1641.64
9,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,334.99790212184587,83.8428374491313,5,692,865,1373.76,1641.64
10,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,279.2544346519395,67.94332946035304,5,519,692,1095.28,1372.18
