outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,426.74208907684624,224.52376598015576,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,451.5095614211681,249.8068336322113,5,346,692,807.292,1372.18
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,358.5586341681394,141.81480352021168,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 9, ""num_intervals"": 5}",C=9__I=5,279.4755284499968,103.29050167172605,5,692,1038,1373.76,2495.26
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,384.74084568392516,178.22833488352651,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,370.36243899191265,157.23943173100048,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,434.27227490405664,65.56228059294216,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 10, ""num_intervals"": 10}",C=10__I=10,376.36720330103185,97.07786920012148,5,692,865,1373.76,1641.64
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,367.04512979655095,104.83321416405737,5,692,1038,1373.76,2495.26
10,"{""n_components"": 8, ""num_intervals"": 10}",C=8__I=10,328.61137737406546,80.7647576839921,5,692,865,1373.76,1641.64
