outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,426.1574630547474,213.60822301645086,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,499.184218887823,292.09395238669987,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,432.5429606414077,193.7899605357828,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,344.50445215696084,165.57542248994815,5,346,692,807.292,1372.18
5,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,315.4260709757024,110.7234395287498,5,692,865,1373.76,1641.64
6,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,319.88318561975404,61.86594468969464,5,692,865,1373.76,1641.64
7,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,390.67382299612484,32.34836320251365,5,519,692,1095.28,1372.18
8,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,364.5203107777198,55.91374629117881,5,692,865,1373.76,1641.64
9,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,334.2462975192275,77.56610426816471,5,346,692,807.292,1372.18
10,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,276.8364140469092,66.09612073180246,5,692,865,1373.76,1641.64
