outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,417.01494024248916,272.1924881963261,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,361.28329001770777,256.73688357085604,5,346,692,807.292,1372.18
3,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,387.73601250290847,103.89725876920868,5,346,692,807.292,1372.18
4,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,263.3500042499084,116.82835317594899,5,346,692,807.292,1372.18
5,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,247.33637884507553,87.88078300032237,5,346,692,807.292,1372.18
6,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,226.86447386174467,96.88904031061617,5,346,692,807.292,1372.18
7,"{""n_components"": 6, ""num_intervals"": 15}",C=6__I=15,287.00803057718275,68.38444976233369,5,690,805,1370.59,1549.19
8,"{""n_components"": 6, ""num_intervals"": 5}",C=6__I=5,279.16093083561134,59.673559910824984,5,346,692,807.292,1372.18
9,"{""n_components"": 6, ""num_intervals"": 10}",C=6__I=10,339.24436508968415,59.678745320357535,5,346,519,807.292,1093.64
10,"{""n_components"": 6, ""num_intervals"": 15}",C=6__I=15,285.62037882454337,56.65173774567148,5,690,805,1370.59,1549.19
