outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,450.8023168903161,211.69797875309902,5,,,,
2,"{""n_components"": 2}",C=2,618.7507278772621,172.93862360002248,5,,,,
3,"{""n_components"": 2}",C=2,631.8542171396703,217.80962112087755,5,,,,
4,"{""n_components"": 2}",C=2,496.12742160289554,136.10852905690285,5,,,,
5,"{""n_components"": 2}",C=2,442.29469619348447,93.88851807930318,5,,,,
6,"{""n_components"": 2}",C=2,2779.919380777324,4608.080686458878,5,,,,
7,"{""n_components"": 2}",C=2,8408.116424672673,15905.985547124894,5,,,,
8,"{""n_components"": 2}",C=2,781.2038610629519,524.7678279131874,5,,,,
9,"{""n_components"": 2}",C=2,474.9187267367276,283.73070885490483,5,,,,
10,"{""n_components"": 2}",C=2,780.3699191856052,622.9851613165624,5,,,,
