outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,457.92454726809694,168.43414354519942,5,,,,
2,"{""n_components"": 2}",C=2,594.8455002917301,204.92246138869857,5,,,,
3,"{""n_components"": 7}",C=7,468.7484744009429,170.60653277445283,5,,,,
4,"{""n_components"": 2}",C=2,509.0310936543834,232.06553859535862,5,,,,
5,"{""n_components"": 2}",C=2,428.74714094746616,190.97755830665173,5,,,,
6,"{""n_components"": 2}",C=2,403.9796168462893,150.89524575063862,5,,,,
7,"{""n_components"": 2}",C=2,503.48685949304735,178.01559081737307,5,,,,
8,"{""n_components"": 2}",C=2,527.5317030234817,181.0532981109515,5,,,,
9,"{""n_components"": 2}",C=2,570.5879371284597,245.75371685185027,5,,,,
10,"{""n_components"": 2}",C=2,541.4440704358012,214.87351182937766,5,,,,
