outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,442.3930725132295,125.80079372385609,5,,,,
2,"{""n_components"": 2}",C=2,518.763754978322,174.74352832025556,5,,,,
3,"{""n_components"": 3}",C=3,431.03910820272614,116.20294402010566,5,,,,
4,"{""n_components"": 2}",C=2,337.5590453923478,194.0295225343807,5,,,,
5,"{""n_components"": 2}",C=2,393.4332260736544,188.99463666338764,5,,,,
6,"{""n_components"": 2}",C=2,322.1821199110484,204.24147309438018,5,,,,
7,"{""n_components"": 2}",C=2,415.8940564213,102.81570541705513,5,,,,
8,"{""n_components"": 2}",C=2,428.6846671902126,115.51545359581543,5,,,,
9,"{""n_components"": 2}",C=2,411.666161439981,106.72987610344164,5,,,,
10,"{""n_components"": 2}",C=2,398.0146333381034,109.9870431776915,5,,,,
