outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,543.1762014922012,251.31764452083482,5,,,,
2,"{""n_components"": 2}",C=2,579.4532811368525,217.88307722813477,5,,,,
3,"{""n_components"": 2}",C=2,509.30977325366774,177.30227174610948,5,,,,
4,"{""n_components"": 2}",C=2,385.34547537732726,153.16948377421224,5,,,,
5,"{""n_components"": 2}",C=2,389.93776313207206,85.86368594228233,5,,,,
6,"{""n_components"": 2}",C=2,302.7020062564668,96.45422984628516,5,,,,
7,"{""n_components"": 2}",C=2,399.0585099938465,54.00953925817151,5,,,,
8,"{""n_components"": 2}",C=2,491.86909719546964,305.54945002718733,5,,,,
9,"{""n_components"": 2}",C=2,459.32824031776073,206.11135729653805,5,,,,
10,"{""n_components"": 3}",C=3,395.41642444925446,33.14695003233964,5,,,,
