outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.028224728431358814,0.008684900126470612,5,,,,
2,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.03671542097038346,0.014917788546149141,5,,,,
3,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.03748239456500226,0.011166845160698335,5,,,,
4,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.049146206574496906,0.02027592464799622,5,,,,
5,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.04671385430915791,0.01880042253862383,5,,,,
6,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.038964816563446567,0.016775032605423852,5,,,,
7,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.039139830133191215,0.015968587451257704,5,,,,
8,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.038983903235450715,0.006383857636935323,5,,,,
9,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.034772415392030555,0.01263647261824267,5,,,,
10,"{""hidden_layer_sizes"": [256, 128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001, ""batch_size"": 256, ""max_iter"": 200}",hls256-128_actrelu_bs256_lr0.001_wd0.0001_mi200,0.039585088317994246,0.005130058746394496,5,,,,
