outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.029444606717921616,0.008461018863238334,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03972987343226338,0.009492916141757537,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.036461123719458075,0.01469237975940456,5,1384,1731,2961.37,3398.93
4,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.03711935582027458,0.008261155440880068,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04036403738600628,0.015722594894343453,5,1384,1731,2961.37,3398.93
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.041098228119696566,0.009663128952014167,5,1384,1731,2961.37,3398.93
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03738280068218244,0.016255199472187242,5,1384,1731,2961.37,3398.93
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03535584587529795,0.015175806420178083,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,0.032797145050535145,0.003248511609685674,5,519,692,1095.28,1372.18
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.037498895415066985,0.011135823493678325,5,1384,1731,2961.37,3398.93
