outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.026750063555763308,0.010970222094723573,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.0381016218686499,0.010469523388095465,5,1038,1384,2496.64,2960.07
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.033904256464834075,0.014022862090172672,5,1038,1384,2496.64,2960.07
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.031412993740492376,0.01297959489537202,5,1038,1384,2496.64,2960.07
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03297834507776389,0.006561306003090485,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.034609278597431396,0.010926415357344505,5,1038,1384,2496.64,2960.07
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.029014515793090872,0.009937573064757904,5,1038,1384,2496.64,2960.07
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03291736333380788,0.013918971535985527,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.034259763008779615,0.006524516194447658,5,692,1038,1373.76,2495.26
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03363491783689462,0.007737116487180861,5,1038,1384,2496.64,2960.07
