outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.029010264859958806,0.005357284242768743,5,1384,1731,2961.37,3398.93
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.037657722774728467,0.011050053926002196,5,0,346,200.908,805.597
3,"{""n_components"": 4, ""num_intervals"": 5}",C=4__I=5,0.03991681316809838,0.007850904650714412,5,0,346,200.908,805.597
4,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.03355166881467802,0.006920931727296038,5,0,346,200.908,805.597
5,"{""n_components"": 3, ""num_intervals"": 5}",C=3__I=5,0.038355689689952975,0.011932128235317339,5,0,346,200.908,805.597
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04206043394499438,0.013280283687926142,5,0,346,200.908,805.597
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.037895015711912255,0.01977380211333126,5,1384,1731,2961.37,3398.93
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03499219436986399,0.015456316618518774,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,0.032797145050535145,0.003248511609685674,5,519,692,1095.28,1372.18
10,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.03719109096626385,0.009555106571684343,5,346,692,807.292,1372.18
