outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.035066798065302295,0.012202077692477253,5,,,,
2,"{""n_components"": 2}",C=2,0.038134038194652824,0.013787134959415687,5,,,,
3,"{""n_components"": 2}",C=2,0.040762484054024564,0.011238560397507164,5,,,,
4,"{""n_components"": 2}",C=2,0.038929984819272664,0.011930022692462438,5,,,,
5,"{""n_components"": 2}",C=2,0.041375228422704906,0.012263498823961765,5,,,,
6,"{""n_components"": 2}",C=2,0.03913397680919578,0.012940660104354964,5,,,,
7,"{""n_components"": 2}",C=2,0.0359054778519961,0.011312236912211636,5,,,,
8,"{""n_components"": 2}",C=2,0.03850114342089772,0.008527095226952287,5,,,,
9,"{""n_components"": 2}",C=2,0.0358559405668672,0.010974921332178077,5,,,,
10,"{""n_components"": 2}",C=2,0.041862907961938686,0.006575014855710917,5,,,,
