outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.04022697604436466,0.010292677433677979,5,,,,
2,"{""n_components"": 2}",C=2,0.073560625232466,0.029875920623299492,5,,,,
3,"{""n_components"": 2}",C=2,0.06458900463252994,0.03963221587925416,5,,,,
4,"{""n_components"": 2}",C=2,0.1312142944416218,0.11346522908788162,5,,,,
5,"{""n_components"": 12}",C=12,0.08251648887836761,0.037657891538757336,5,,,,
6,"{""n_components"": 2}",C=2,0.0575301829395148,0.021857784431950415,5,,,,
7,"{""n_components"": 9}",C=9,0.0743489491149458,0.035394476608301854,5,,,,
8,"{""n_components"": 10}",C=10,0.0547961527169565,0.019722640409206876,5,,,,
9,"{""n_components"": 2}",C=2,0.04632896126043519,0.023110043005129022,5,,,,
10,"{""n_components"": 7}",C=7,0.04651333622816707,0.009175864690543208,5,,,,
