outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.03585419368085109,0.014078088424110449,5,,,,
2,"{""n_components"": 3}",C=3,0.03677535375021995,0.012101725598737652,5,,,,
3,"{""n_components"": 3}",C=3,0.03296855662565751,0.010508232593771347,5,,,,
4,"{""n_components"": 4}",C=4,0.03360674627662802,0.011036074918965848,5,,,,
5,"{""n_components"": 3}",C=3,0.04201504170516733,0.014869654199677786,5,,,,
6,"{""n_components"": 2}",C=2,0.03821711870542934,0.012731826833174493,5,,,,
7,"{""n_components"": 3}",C=3,0.036521792712846717,0.01372019954155107,5,,,,
8,"{""n_components"": 6}",C=6,0.03358653900986307,0.01636224006621324,5,,,,
9,"{""n_components"": 3}",C=3,0.032343382714252855,0.009181394396389805,5,,,,
10,"{""n_components"": 3}",C=3,0.04210852061495496,0.006028612543074694,5,,,,
