outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.030471711088975013,0.008638008683349735,5,,,,
2,"{""n_components"": 2}",C=2,0.036334523090180926,0.007510927435243219,5,,,,
3,"{""n_components"": 2}",C=2,0.03874343976061419,0.01102342084960878,5,,,,
4,"{""n_components"": 2}",C=2,0.03633150981149609,0.00803707622409378,5,,,,
5,"{""n_components"": 2}",C=2,0.039946750876186536,0.010274472330318463,5,,,,
6,"{""n_components"": 2}",C=2,0.038139786680362504,0.011614141829201424,5,,,,
7,"{""n_components"": 2}",C=2,0.03658306722232024,0.010790958814018885,5,,,,
8,"{""n_components"": 2}",C=2,0.03630498024093155,0.010497324869082529,5,,,,
9,"{""n_components"": 2}",C=2,0.033886482841563884,0.004717487041674845,5,,,,
10,"{""n_components"": 2}",C=2,0.038559552929591345,0.007425787284875111,5,,,,
