outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.0314048904256742,0.008715787738249995,5,,,,
2,"{""n_components"": 2}",C=2,0.03645717082063686,0.011116747217353198,5,,,,
3,"{""n_components"": 2}",C=2,0.03419699708682801,0.013126827292522387,5,,,,
4,"{""n_components"": 2}",C=2,0.036032326903594356,0.011245693821242481,5,,,,
5,"{""n_components"": 2}",C=2,0.03959020655116256,0.013701619228183602,5,,,,
6,"{""n_components"": 2}",C=2,0.038901269684809184,0.015666730547050294,5,,,,
7,"{""n_components"": 2}",C=2,0.03687459221517659,0.013022267146660008,5,,,,
8,"{""n_components"": 2}",C=2,0.03745420292014433,0.013760473108977598,5,,,,
9,"{""n_components"": 2}",C=2,0.03460260790393959,0.008352865045924961,5,,,,
10,"{""n_components"": 2}",C=2,0.04010926998870899,0.005059660786953542,5,,,,
