outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.033828575490690814,0.012166131860717676,5,,,,
2,"{""n_components"": 2}",C=2,0.04870031383961616,0.017063175183206814,5,,,,
3,"{""n_components"": 2}",C=2,0.0417801644198576,0.013865243417228187,5,,,,
4,"{""n_components"": 2}",C=2,0.0533862637891803,0.025227676556948027,5,,,,
5,"{""n_components"": 2}",C=2,0.052710237684455354,0.022042848100155894,5,,,,
6,"{""n_components"": 2}",C=2,0.05057302948248886,0.020970295452823168,5,,,,
7,"{""n_components"": 2}",C=2,0.05782012627483579,0.029583092586179614,5,,,,
8,"{""n_components"": 2}",C=2,0.04736682645154811,0.027764958792770432,5,,,,
9,"{""n_components"": 2}",C=2,0.05419306513740997,0.03244359397429862,5,,,,
10,"{""n_components"": 2}",C=2,0.06541525363023104,0.03395339194047311,5,,,,
