outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.034219383478659035,0.015395724272233409,5,,,,
2,"{""n_components"": 2}",C=2,0.04773776866046957,0.008858173568529533,5,,,,
3,"{""n_components"": 4}",C=4,0.03689972538585486,0.005947080855539246,5,,,,
4,"{""n_components"": 2}",C=2,0.03587921834134968,0.01198569679748123,5,,,,
5,"{""n_components"": 2}",C=2,0.04352653091412246,0.016033323128108897,5,,,,
6,"{""n_components"": 2}",C=2,0.0423898507569855,0.016402663755190134,5,,,,
7,"{""n_components"": 2}",C=2,0.04375498761551619,0.013133413720410821,5,,,,
8,"{""n_components"": 2}",C=2,0.03527573628172377,0.012272071158547082,5,,,,
9,"{""n_components"": 2}",C=2,0.03711900197760131,0.010095835466373312,5,,,,
10,"{""n_components"": 4}",C=4,0.03731675918064224,0.006190686009300119,5,,,,
