outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 5, ""num_intervals"": 5}",C=5__I=5,624.3250129379478,148.10222497116462,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,746.7312621840123,319.68159113347724,5,1384,1731,2961.37,3398.93
3,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,586.8751034408217,202.37003333559127,5,1557,1731,3183.41,3398.93
4,"{""n_components"": 3, ""num_intervals"": 10}",C=3__I=10,542.9725567655125,173.20427336962516,5,1211,1384,2732.54,2960.07
5,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,602.1266524975639,153.3295045276776,5,1211,1384,2732.54,2960.07
6,"{""n_components"": 6, ""num_intervals"": 10}",C=6__I=10,522.8039766669274,33.37978225629036,5,1211,1384,2732.54,2960.07
7,"{""n_components"": 5, ""num_intervals"": 10}",C=5__I=10,461.3436793523262,37.10022611635451,5,1211,1384,2732.54,2960.07
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,618.7177746745249,188.9393688517801,5,1384,1731,2961.37,3398.93
9,"{""n_components"": 4, ""num_intervals"": 10}",C=4__I=10,619.9972839140304,116.18001865724843,5,1211,1384,2732.54,2960.07
10,"{""n_components"": 6, ""num_intervals"": 10}",C=6__I=10,517.874832000685,88.90924975275578,5,1211,1384,2732.54,2960.07
